title,description,creator,recipient,date,date-is-approximate,latitude,longitude,item-information,subject,related-publication,publisher-digital,source,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,cdmid,objectid,youtubeid,object_thumb,object_download,reference_url
"Untitled (From Torn Sky series)","","","","","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","Still Image","image/jpeg","","","28","coll0028","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/28","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/28/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/coll0028.html"
"Untitled","","","","1990","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","Still Image","image/jpeg","","","29","coll0029","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/29","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/29/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/coll0029.html"
"Waiting for Spring","","","","1992","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","Still Image","image/jpeg","","","30","coll0030","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/30","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/30/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/coll0030.html"
"Wagu #1","","","","1993","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","Still Image","image/jpeg","","","31","coll0031","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/31","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/31/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/coll0031.html"
"Man with One Hand to Face","","","","1960","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","Still Image","image/jpeg","","","32","coll0032","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/32","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/32/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/coll0032.html"
"Acceptance of Longing (Study) II","","","","1997","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","Still Image","image/jpeg","","","33","coll0033","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/33","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/33/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/coll0033.html"
"Robert&#39;s Dilemma","","","","1983","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","Still Image","image/jpeg","","","34","coll0034","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/34","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/34/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/coll0034.html"
"Chicago","","","","1989","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","Still Image","image/jpeg","","","35","coll0035","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/35","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/35/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/coll0035.html"
"N-1957","","","","1957","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","Still Image","image/jpeg","","","36","coll0036","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/36","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/36/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/coll0036.html"
"Walking Man","","","","1985","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","Still Image","image/jpeg","","","37","coll0037","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/37","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/37/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/coll0037.html"
"Llave","","","","1989","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","Still Image","image/jpeg","","","38","coll0038","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/38","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/38/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/coll0038.html"
"Untitled (From the Grand Hotel series)","","","","1989","","","","","","","","","","","© Frederick R. Weisman Museum. Republished with permission. Transmission or reproduction of materials protected by copyright beyond that allowed by fair use requires the written permission of the copyright owners.","","Still Image","image/jpeg","","","39","coll0039","","https://cdm15730.contentdm.oclc.org//utils/getthumbnail/collection/p15730coll35/id/39","https://cdm15730.contentdm.oclc.org//digital/iiif/p15730coll35/39/full/max/0/default.jpg","https://cdm15730.contentdm.oclc.org/items/coll0039.html"
